// Taken from https://ssd.jpl.nasa.gov/?bodies
// For Types: S=Star, H=Hostile, E=Garden, A=Airless, G=Gas Giant
// Type,Name,Radius,Mass/Density,Parent,SemiMajorAxis,Eccentricity,LongOfPeriapsis,MeanAnom
// Mass/Density: if negative, then mass is actually density
// For Type: B=Random Belt
// Type,Count,Parent,MinSemiMajAxis,MaxSemiMajAxis,MinEccentricity,MaxEccentricity
S,Sol,6.957E8,1.9885e+30
A,Eukelade,2E4,9.0E13,Jupiter,2.3323E10,0.2619,309.685,204.846
A,Cyllene,1E4,1.5E13,Jupiter,2.38E10,0.4155,187.429,128.345
A,Kore,1E4,1.5E13,Jupiter,2.4482E10,0.3313,138.071,33.416
A,Herse,1E4,1.5E13,Jupiter,2.3408E10,0.2541,330.295,141.667
G,Saturn,5.8232E7,5.68336E26,Sol,1.42666584E12,0.05386179,92.59887831,-42.64463408
A,Mimas,1.982E5,3.7506E19,Saturn,1.85539E8,0.0196,332.499,14.848
A,Enceladus,2.521E5,1.0794E20,Saturn,2.38042E8,0.0000,0.076,199.686
A,Tethys,5.33E5,6.17551E20,Saturn,2.94672E8,0.0001,45.202,243.367
A,Dione,5.617E5,1.09575E21,Saturn,3.77415E8,0.0022,284.315,322.232
A,Rhea,7.643E5,2.307089E21,Saturn,5.27068E8,0.0002,241.619,179.781
A,Titan,2.57473E6,1.3455252E23,Saturn,1.221865E9,0.0288,180.532,163.310
A,Hyperion,1.35E5,5.586E18,Saturn,1.500933E9,0.0232,303.178,86.342
A,Iapetus,7.356E5,1.805952E21,Saturn,3.560854E9,0.0293,271.606,201.789
A,Phoebe,1.605E5,8.291E18,Saturn,1.2947918E10,0.1634,342.500,53.038
A,Janus,8.95E4,1.893E18,Saturn,1.5145E8,0.0098,16.012,17.342
A,Epimetheus,5.81E4,5.26E17,Saturn,1.5145E8,0.0161,88.975,80.377
A,Helene,1.76E4,1.14E16,Saturn,3.77444E8,0.0000,33.134,43.186
A,Telesto,1.24E4,4.0E15,Saturn,2.9472E8,0.0002,119.135,260.157
A,Calypso,1.07E4,2.5E15,Saturn,2.94721E8,0.0005,17.470,156.660
A,Atlas,1.51E4,6.6E15,Saturn,1.37774E8,0.0011,210.851,283.282
A,Prometheus,4.31E4,1.610E17,Saturn,1.39429E8,0.0022,37.514,96.886
A,Pandora,4.07E4,1.38E17,Saturn,1.4181E8,0.0042,66.248,125.112
A,Pan,1.41E4,4.9E15,Saturn,1.33585E8,0.0000,103.331,351.187
A,Methone,1.6E3,9E12,Saturn,1.94402E8,0.0000,134.636,71.189
A,Pallene,2.5E3,3.3E13,Saturn,2.12282E8,0.0040,16.074,356.227
A,Polydeuces,1.3E3,4E12,Saturn,3.77222E8,0.0191,311.847,89.307
A,Daphnis,3.8E3,7.8E13,Saturn,1.36504E8,0.0000,266.931,113.790
A,Anthe,9.0E2,1E12,Saturn,1.96888E8,0.0011,138.902,190.473
A,Aegaeon,3.0E2,6E10,Saturn,1.67425E8,0.0002,152.905,322.771
A,Ymir,9E3,4.9E15,Saturn,2.3128E10,0.3338,21.352,228.673
A,Paaliaq,1.1E4,8.2E15,Saturn,1.5204E10,0.3325,237.522,321.654
A,Tarvos,7.5E3,2.7E15,Saturn,1.8243E10,0.5382,274.104,265.783
A,Ijiraq,6E3,1.2E15,Saturn,1.1408E10,0.2717,92.899,17.328
A,Suttungr,3.5E3,2.1E14,Saturn,1.9468E10,0.1139,34.281,321.133
A,Kiviuq,8E3,3.3E15,Saturn,1.1384E10,0.3325,90.205,172.018
A,Mundilfari,3.5E3,2.1E14,Saturn,1.8653E10,0.2097,309.694,92.821
A,Albiorix,1.6E4,2.1E16,Saturn,1.6393E10,0.4797,55.932,32.828
A,Skathi,4E3,3.1E14,Saturn,1.5635E10,0.2718,203.517,114.689
A,Erriapus,5E3,7.6E14,Saturn,1.7602E10,0.4722,282.522,294.829
A,Siarnaq,2E4,3.9E16,Saturn,1.8182E10,0.2802,65.929,201.288
A,Thrymr,3.5E3,2.1E14,Saturn,2.0418E10,0.4659,125.404,30.075
A,Narvi,3.5E3,3.4E14,Saturn,1.9349E10,0.4296,169.959,114.172
A,Aegir,3E3,3.3E14,Saturn,2.0751E10,0.2524,242.651,26.017
A,Bebhionn,3E3,3.3E14,Saturn,1.7116E10,0.4682,358.141,168.045
A,Bergelmir,3E3,3.3E14,Saturn,1.9336E10,0.1420,133.400,306.494
A,Bestla,3.5E3,5.3E14,Saturn,2.0209E10,0.5145,81.185,239.156
A,Farbauti,2.5E3,1.9E14,Saturn,2.039E10,0.2414,342.995,282.813
A,Fenrir,2E3,9.8E13,Saturn,2.2454E10,0.1347,120.982,131.678
A,Fornjot,3E3,3.3E14,Saturn,2.5146E10,0.2077,324.787,214.499
A,Hati,3E3,3.3E14,Saturn,1.9868E10,0.3710,21.286,163.640
A,Hyrrokkin,3E3,3.3E14,Saturn,1.844E10,0.3359,273.076,291.841
A,Kari,3E3,3.3E14,Saturn,2.2093E10,0.4756,163.935,286.021
A,Loge,3E3,3.3E14,Saturn,2.3059E10,0.1862,32.821,337.237
A,Skoll,3E3,3.3E14,Saturn,1.7668E10,0.4636,193.115,44.965
A,Surtur,3E3,3.3E14,Saturn,2.2941E10,0.4459,303.662,136.191
A,Jarnsaxa,3E3,3.3E14,Saturn,1.9354E10,0.2178,237.422,198.750
